FIPSCode,QB1a
1000500000,180
1100100000,830
1200100000,848
1200300000,33
1200500000,1799
1200700000,53
1200900000,3176
1201100000,4704
1201300000,28
1201500000,357
1201700000,386
1201900000,1499
1202100000,799
1202300000,206
1202700000,12
1202900000,24
1203100000,4481
1203300000,6631
1203500000,185
1203700000,46
1203900000,96
1204100000,23
1204300000,0
1204500000,59
1204700000,51
1204900000,31
1205100000,73
1205300000,310
1205500000,171
1205700000,5100
1205900000,38
1206100000,299
1206300000,135
1206500000,16
1206700000,24
1206900000,613
1207100000,736
1207300000,1337
1207500000,64
1207700000,12
1207900000,34
1208100000,703
1208300000,592
1208500000,234
1208600000,4340
1208700000,748
1208900000,485
1209100000,5789
1209300000,48
1209500000,4203
1209700000,440
1209900000,2621
1210100000,1067
1210300000,2983
1210500000,686
1210700000,166
1210900000,953
1211100000,699
1211300000,3049
1211500000,1444
1211700000,1352
1211900000,158
1212100000,166
1212300000,45
1212500000,11
1212700000,1620
1212900000,66
1213100000,285
1213300000,48
1300100000,3
1300300000,4
1300500000,7
1300700000,0
1300900000,11
1301100000,6
1301300000,6
1301500000,25
1301700000,3
1301900000,3
1302100000,39
1302300000,3
1302500000,5
1302700000,0
1302900000,24
1303100000,11
1303300000,2
1303500000,2
1303700000,0
1303900000,16
1304300000,2
1304500000,21
1304700000,7
1304900000,5
1305100000,92
1305300000,6
1305500000,5
1305700000,45
1305900000,50
1306100000,0
1306300000,44
1306500000,0
1306700000,205
1306900000,8
1307100000,3
1307300000,88
1307500000,3
1307700000,32
1307900000,2
1308100000,3
1308300000,2
1308500000,10
1308700000,3
1308900000,289
1309100000,3
1309300000,2
1309500000,15
1309700000,14
1309900000,6
1310100000,0
1310300000,15
1310500000,6
1310700000,3
1310900000,5
1311100000,7
1311300000,61
1311500000,12
1311700000,43
1311900000,2
1312100000,301
1312300000,9
1312500000,3
1312700000,27
1312900000,7
1313100000,4
1313300000,6
1313500000,149
1313700000,6
1313900000,29
1314100000,0
1314300000,3
1314500000,15
1314700000,3
1314900000,5
1315100000,54
1315300000,55
1315500000,0
1315700000,7
1315900000,2
1316100000,0
1316300000,5
1316500000,2
1316700000,1
1316900000,5
1317100000,4
1317300000,0
1317500000,12
1317700000,7
1317900000,34
1318100000,2
1318300000,2
1318500000,20
1318700000,15
1318900000,2
1319100000,6
1319300000,5
1319500000,9
1319700000,1
1319900000,2
1320100000,0
1320500000,2
1320700000,6
1320900000,0
1321100000,4
1321300000,5
1321500000,84
1321700000,19
1321900000,20
1322100000,1
1322300000,26
1322500000,14
1322700000,3
1322900000,2
1323100000,7
1323300000,3
1323500000,0
1323700000,7
1323900000,0
1324100000,6
1324300000,0
1324500000,73
1324700000,23
1324900000,0
1325100000,2
1325300000,2
1325500000,18
1325700000,5
1325900000,4
1326100000,8
1326300000,1
1326500000,1
1326700000,7
1326900000,2
1327100000,4
1327300000,5
1327500000,1
1327700000,6
1327900000,1
1328100000,0
1328300000,0
1328500000,16
1328700000,0
1328900000,5
1329100000,14
1329300000,2
1329500000,4
1329700000,14
1329900000,4
1330100000,0
1330300000,8
1330500000,2
1330700000,0
1330900000,2
1331100000,8
1331300000,19
1331500000,2
1331700000,4
1331900000,3
1332100000,1
1500100000,26
1500300000,283
1500500000,
1500700000,28
1500900000,25
1600100000,224
1600300000,2
1600500000,16
1600700000,0
1600900000,0
1601100000,12
1601300000,3
1601500000,3
1601700000,25
1601900000,22
1602100000,0
1602300000,0
1602500000,1
1602700000,49
1602900000,2
1603100000,0
1603300000,1
1603500000,4
1603700000,5
1603900000,22
1604100000,9
1604300000,0
1604500000,2
1604700000,4
1604900000,8
1605100000,2
1605300000,1
1605500000,40
1605700000,33
1605900000,3
1606100000,2
1606300000,1
1606500000,9
1606700000,4
1606900000,15
1607100000,0
1607300000,1
1607500000,7
1607700000,2
1607900000,3
1608100000,12
1608300000,12
1608500000,3
1608700000,1
1700100000,44
1700300000,0
1700500000,6
1700700000,10
1700900000,3
1701100000,28
1701300000,0
1701500000,6
1701700000,0
1701900000,157
1702100000,28
1702300000,4
1702500000,2
1702700000,14
1702900000,20
1703012000,0
1703100000,716
1703300000,3
1703500000,5
1703700000,32
1703900000,1
1704100000,9
1704300000,303
1704500000,4
1704700000,4
1704900000,8
1705100000,4
1705300000,4
1705500000,7
1705700000,12
1705900000,2
1706100000,5
1706300000,21
1706500000,7
1706613000,19
1706700000,8
1706900000,1
1707100000,0
1707300000,22
1707500000,10
1707700000,98
1707900000,4
1708100000,13
1708300000,0
1708500000,10
1708700000,16
1708900000,91
1709100000,30
1709300000,26
1709500000,7
1709700000,217
