0100100000,318
0100300000,
0100500000,
0100700000,87
0100900000,177
0101100000,
0101300000,
0101500000,433
0101700000,148
0101900000,228
0102100000,362
0102300000,
0102500000,313
0102700000,
0102900000,94
0103100000,
0103300000,373
0103500000,320
0103700000,69
0103900000,102
0104100000,261
0104300000,390
0104500000,250
0104700000,333
0104900000,
0105100000,356
0105300000,216
0105500000,566
0105700000,431
0105900000,
0106100000,104
0106300000,173
0106500000,
0106700000,187
0106900000,484
0107100000,
0107300000,2936
0107500000,
0107700000,665
0107900000,
0108100000,594
0108300000,588
0108500000,110
0108700000,126
0108900000,1967
0109100000,
0109300000,
0109500000,364
0109700000,1370
0109900000,148
0110100000,1373
0110300000,492
0110500000,305
0110700000,162
0110900000,
0111100000,205
0111300000,
0111500000,
0111700000,
0111900000,297
0112100000,
0112300000,275
0112500000,813
0112700000,230
0112900000,109
0113100000,386
0113300000,0
0200000000,24693
0400100000,9866
0400300000,23937
0400500000,25484
0400700000,13347
0400900000,4974
0401100000,1444
0401200000,2289
0401300000,717822
0401500000,27787
0401700000,15699
0401900000,207384
0402100000,51662
0402300000,6358
0402500000,62153
0402700000,22331
0500100000,112
0500300000,78
0500500000,343
0500700000,889
0500900000,206
0501100000,67
0501300000,30
0501500000,139
0501700000,160
0501900000,213
0502100000,56
0502300000,214
0502500000,54
0502700000,197
0502900000,221
0503100000,487
0503300000,191
0503500000,305
0503700000,231
0503900000,38
0504100000,95
0504300000,95
0504500000,628
0504700000,143
0504900000,64
0505100000,665
0505300000,35
0505500000,111
0505700000,237
0505900000,196
0506100000,54
0506300000,129
0506500000,122
0506700000,59
0506900000,456
0507100000,160
0507300000,198
0507500000,88
0507700000,210
0507900000,131
0508100000,114
0508300000,107
0508500000,214
0508700000,73
0508900000,156
0509100000,173
0509300000,496
0509500000,61
0509700000,110
0509900000,122
0510100000,78
0510300000,142
0510500000,61
0510700000,211
0510900000,68
0511100000,638
0511300000,187
0511500000,181
0511700000,35
0511900000,2069
0512100000,130
0512300000,241
0512500000,328
0512700000,129
0512900000,86
0513100000,499
0513300000,52
0513500000,172
0513700000,109
0513900000,300
0514100000,152
0514300000,615
0514500000,438
0514700000,60
0514900000,92
0600100000,227643
0600300000,477
0600500000,7958
0600700000,46432
0600900000,11366
0601100000,2656
0601300000,165105
0601500000,4621
0601700000,49119
0601900000,99765
0602100000,4885
0602300000,21533
0602500000,15384
0602700000,3919
0602900000,78590
0603100000,18408
0603300000,12224
0603500000,5178
0603700000,615074
0603900000,18262
0604100000,64845
0604300000,4691
0604500000,20573
0604700000,22370
0604900000,2157
0605100000,2048
0605300000,56989
0605500000,36684
0605700000,29764
0605900000,388546
0606100000,84533
0606300000,5012
0606500000,236325
0606700000,217306
0606900000,9610
0607100000,178646
0607300000,450913
0607500000,134604
0607700000,88628
0607900000,63034
0608100000,110249
0608300000,78022
0608500000,312353
0608700000,42323
0608900000,39390
0609100000,1652
0609300000,9927
0609500000,62481
0609700000,111531
0609900000,66232
0610100000,15634
