0100100000,9
0100300000,19
0100500000,1
0100700000,0
0100900000,1
0101100000,4
0101300000,1
0101500000,7
0101700000,0
0101900000,2
0102100000,2
0102300000,0
0102500000,3
0102700000,3
0102900000,2
0103100000,13
0103300000,2
0103500000,3
0103700000,0
0103900000,1
0104100000,0
0104300000,6
0104500000,12
0104700000,2
0104900000,7
0105100000,10
0105300000,3
0105500000,4
0105700000,0
0105900000,4
0106100000,1
0106300000,1
0106500000,1
0106700000,2
0106900000,9
0107100000,1
0107300000,111
0107500000,0
0107700000,4
0107900000,3
0108100000,16
0108300000,8
0108500000,0
0108700000,0
0108900000,62
0109100000,7
0109300000,1
0109500000,5
0109700000,26
0109900000,1
0110100000,4
0110300000,9
0110500000,0
0110700000,1
0110900000,2
0111100000,5
0111300000,13
0111500000,4
0111700000,18
0111900000,0
0112100000,4
0112300000,0
0112500000,9
0112700000,1
0112900000,6
0113100000,2
0113300000,0
0200000000,3080
0400100000,18
0400300000,74
0400500000,121
0400700000,15
0400900000,3
0401100000,11
0401200000,1
0401300000,613
0401500000,42
0401700000,29
0401900000,467
0402100000,45
0402300000,11
0402500000,123
0402700000,52
0500100000,0
0500300000,2
0500500000,4
0500700000,39
0500900000,0
0501100000,1
0501300000,1
0501500000,2
0501700000,0
0501900000,3
0502100000,1
0502300000,6
0502500000,2
0502700000,3
0502900000,1
0503100000,5
0503300000,13
0503500000,1
0503700000,2
0503900000,1
0504100000,0
0504300000,0
0504500000,22
0504700000,3
0504900000,0
0505100000,0
0505300000,1
0505500000,5
0505700000,1
0505900000,6
0506100000,3
0506300000,3
0506500000,1
0506700000,0
0506900000,
0507100000,0
0507300000,2
0507500000,3
0507700000,0
0507900000,0
0508100000,1
0508300000,1
0508500000,8
0508700000,2
0508900000,1
0509100000,8
0509300000,
0509500000,0
0509700000,0
0509900000,
0510100000,2
0510300000,1
0510500000,
0510700000,1
0510900000,
0511100000,1
0511300000,1
0511500000,10
0511700000,2
0511900000,107
0512100000,4
0512300000,0
0512500000,11
0512700000,5
0512900000,0
0513100000,5
0513300000,0
0513500000,3
0513700000,2
0513900000,6
0514100000,4
0514300000,38
0514500000,11
0514700000,0
0514900000,1
0600100000,809
0600300000,0
0600500000,4
0600700000,72
0600900000,20
0601100000,5
0601300000,694
0601500000,10
0601700000,68
0601900000,131
0602100000,8
0602300000,45
0602500000,20
0602700000,13
0602900000,124
0603100000,42
0603300000,32
0603500000,0
0603700000,2733
0603900000,10
0604100000,298
0604300000,6
0604500000,42
0604700000,16
0604900000,7
0605100000,5
0605300000,251
0605500000,61
0605700000,53
0605900000,938
0606100000,110
0606300000,7
0606500000,732
0606700000,383
0606900000,11
0607100000,523
