FIPSCode,QA3a,QA3b,Registration,,,
0606700000,684088,178413,862501,,,
0606900000,24250,,24250,,,
0607100000,851684,720881,1572565,,,
0607300000,1546924,1872961,3419885,,,
0607500000,436184,236509,672693,,,
0607700000,297425,74974,372399,,,
0607900000,150303,,150303,,,
0608100000,355598,,355598,,,
0608300000,197120,54264,251384,,,
0608500000,805806,312019,1117825,,,
0608700000,142377,63365,205742,,,
0608900000,97936,20641,118577,,,
0609100000,2232,218,2450,,,
0609300000,24844,26968,51812,,,
0609500000,200740,,200740,,,
0609700000,244572,58773,303345,,,
0609900000,214188,105337,319525,,,
0610100000,41607,,41607,,,
0610300000,30169,3705,33874,,,
0610500000,7211,,7211,,,
0610700000,137659,51319,188978,,,
0610900000,29274,,29274,,,
0611100000,433471,89812,523283,,,
0611300000,101032,,101032,,,
0611500000,26923,18648,45571,,,
0800100000,204692,56656,261348,,,
0800300000,7292,1755,9047,,,
0800500000,317785,70199,387984,,,
0800700000,7608,2236,9844,,,
0800900000,2422,362,2784,,,
0801100000,2197,523,2720,,,
0801300000,186361,66158,252519,,,
0801400000,36103,7709,43812,,,
0801500000,11375,2113,13488,,,
0801700000,1288,136,1424,,,
0801900000,6361,1346,7707,,,
0802100000,4731,875,5606,,,
0802300000,2354,403,2757,,,
0802500000,1741,311,2052,,,
0802700000,3029,471,3500,,,
0802900000,17362,3717,21079,,,
0803100000,347201,128793,475994,,,
0803300000,1372,260,1632,,,
0803500000,185389,40418,225807,,,
0803700000,25743,7393,33136,,,
0803900000,15848,2936,18784,,,
0804100000,331433,93174,424607,,,
0804300000,23907,4463,28370,,,
0804500000,28432,4903,33335,,,
0804700000,4103,569,4672,,,
0804900000,9389,2190,11579,,,
0805100000,9360,2994,12354,,,
0805300000,637,106,743,,,
0805500000,4179,857,5036,,,
0805700000,973,177,1150,,,
0805900000,344078,79425,423503,,,
0806100000,946,89,1035,,,
0806300000,4097,1010,5107,,,
0806500000,3707,1357,5064,,,
0806700000,32155,10578,42733,,,
0806900000,198797,37116,235913,,,
0807100000,7736,2448,10184,,,
0807300000,2544,509,3053,,,
0807500000,10396,2039,12435,,,
0807700000,82666,26372,109038,,,
0807900000,710,99,809,,,
0808100000,6639,2831,9470,,,
0808300000,14538,4143,18681,,,
0808500000,22125,4115,26240,,,
0808700000,12649,2447,15096,,,
0808900000,9680,1487,11167,,,
0809100000,3419,868,4287,,,
0809300000,10658,2358,13016,,,
0809500000,2554,718,3272,,,
0809700000,11442,4054,15496,,,
0809900000,5660,1188,6848,,,
0810100000,88738,19896,108634,,,
0810300000,3608,819,4427,,,
0810500000,6292,1444,7736,,,
0810700000,14812,3789,18601,,,
0810900000,3574,715,4289,,,
0811100000,582,131,713,,,
0811300000,4720,1825,6545,,,
0811500000,1502,182,1684,,,
0811700000,17272,8548,25820,,,
0811900000,15494,2198,17692,,,
0812100000,2830,451,3281,,,
0812300000,136438,29709,166147,,,
0812500000,5309,910,6219,,,
0900104720,11364,451,11815,,,
0900108070,58242,16586,74828,,,
0900108980,9845,1285,11130,,,
0900118500,34735,1519,36254,,,
0900118850,12301,943,13244,,,
0900123890,5152,242,5394,,,
0900126620,36858,2412,39270,,,
0900133620,32493,5291,37784,,,
0900148620,11720,1464,13184,,,
0900150580,12831,789,13620,,,
0900150860,9483,27,9510,,,
0900152980,17163,711,17874,,,
0900156060,44212,2756,46968,,,
0900163480,6962,117,7079,,,
0900163970,16480,1075,17555,,,
0900168170,23112,915,24027,,,
0900168310,2611,138,2749,,,
0900173070,58787,3661,62448,,,
0900174190,31628,915,32543,,,
0900177200,23995,825,24820,,,
0900183430,6083,764,6847,,,
0900183500,16271,2199,18470,,,
0900186370,11468,508,11976,,,
0900302060,11621,1240,12861,,,
0900304300,12850,857,13707,,,
0900305910,12656,2638,15294,,,
0900308490,31631,3756,35387,,,
0900310100,6125,70,6195,,,
0900312270,7037,288,7325,,,
0900322070,3514,109,3623,,,
0900322630,25714,2332,28046,,,
0900324800,7194,237,7431,,,
0900325990,21713,4795,26508,,,
0900327600,17241,913,18154,,,
0900331240,21021,2010,23031,,,
0900332640,7044,583,7627,,,
0900337070,48913,9324,58237,,,
0900337140,1529,45,1574,,,
0900344700,26749,5835,32584,,,
0900345820,4033,216,4249,,,
0900350440,25792,9350,35142,,,
0900352140,17440,1870,19310,,,
0900360120,10564,86,10650,,,
0900365370,10943,1008,11951,,,
0900368940,16151,617,16768,,,
0900370550,25711,3346,29057,,,
0900371390,15524,934,16458,,,
0900374540,8295,544,8839,,,
0900382590,38899,1536,40435,,,
0900384900,16170,1471,17641,,,
0900387000,20041,853,20894,,,
0900387070,7285,762,8047,,,
0900502760,2584,94,2678,,,
0900504930,2487,347,2834,,,
0900508210,1273,7,1280,,,
0900510940,770,16,786,,,
0900516050,1088,21,1109,,,
0900517240,986,62,1048,,,
0900532290,2045,43,2088,,,
0900537280,4052,143,4195,,,
0900540290,1898,110,2008,,,
0900543370,5218,1069,6287,,,
0900549460,1682,61,1743,,,
0900551350,4386,315,4701,,,
0900552630,16336,932,17268,,,
0900553470,1049,120,1169,,,
0900554030,2008,0,2008,,,
0900560750,7420,472,7892,,,
0900565930,1689,20,1709,,,
0900566420,2888,263,3151,,,
0900567960,1613,203,1816,,,
0900575730,4357,709,5066,,,
0900576570,18939,924,19863,,,
0900579510,983,8,991,,,
0900579720,2414,51,2465,,,
0900580490,14563,422,14985,,,
0900586440,6794,232,7026,,,
0900587910,6751,291,7042,,,
0900714300,2458,161,2619,,,
0900715350,9239,201,9440,,,
0900718080,9281,347,9628,,,
0900719130,3159,115,3274,,,
0900720810,5045,170,5215,,,
0900722280,5872,147,6019,,,
0900722490,7748,824,8572,,,
0900726270,4685,156,4841,,,
0900735230,5723,303,6026,,,
0900740710,4297,287,4584,,,
0900747080,3141,110,3251,,,
0900747360,22362,3853,26215,,,
0900757320,7544,389,7933,,,
0900761800,5535,659,6194,,,
0900781680,4224,181,4405,,,
0900901220,9359,877,10236,,,
0900903250,3899,191,4090,,,
0900904580,3882,184,4066,,,
0900907310,18074,1150,19224,,,
0900914160,17135,2136,19271,,,
0900919550,5448,1239,6687,,,
0900922910,15025,1370,16395,,,
0900934950,14076,1938,16014,,,
0900935650,33056,1432,34488,,,
0900944560,13191,766,13957,,,
0900946520,28794,4673,33467,,,
0900946940,5200,92,5292,,,
0900947535,33062,1183,34245,,,
0900949950,16913,996,17909,,,
0900952070,70814,7455,78269,,,
0900953890,8939,100,9039,,,
0900954870,15250,511,15761,,,
0900957600,10332,98,10430,,,
0900958300,8585,287,8872,,,
0900962290,6111,372,6483,,,
0900967610,9468,411,9879,,,
0900969640,13528,1545,15073,,,
0900978740,25101,1331,26432,,,
0900980070,56389,2360,58749,,,
0900982870,24832,5546,30378,,,
0900987560,11007,290,11297,,,
0900987700,6515,284,6799,,,
0901106820,1693,100,1793,,,
0901115910,10178,324,10502,,,
0901123400,10852,1613,12465,,,
0901129910,1196,85,1281,,,
0901133900,6603,345,6948,,,
0901134250,17964,3054,21018,,,
0901142390,4325,522,4847,,,
0901142600,8384,1076,9460,,,
0901143230,2593,114,2707,,,
0901144210,1788,68,1856,,,
0901148900,8492,1599,10091,,,
0901152350,14391,566,14957,,,
0901155500,3809,7,3816,,,
0901156270,15456,5827,21283,,,
0901157040,5132,1062,6194,,,
0901162150,2995,354,3349,,,
0901166210,2440,439,2879,,,
0901171670,1667,221,1888,,,
0901173770,12476,582,13058,,,
0901178600,1361,329,1690,,,
0901180280,12558,444,13002,,,
0901301080,2072,39,2111,,,
0901306260,3215,314,3529,,,
0901316400,3608,68,3676,,,
0901317800,7338,618,7956,,,
0901325360,9375,632,10007,,,
0901337910,6460,89,6549,,,
0901344910,11665,3668,15333,,,
0901369220,5590,866,6456,,,
0901372090,7480,218,7698,,,
0901376290,9311,1048,10359,,,
0901377830,600,16,616,,,
0901378250,14054,2788,16842,,,
0901385950,3190,519,3709,,,
0901501430,2664,241,2905,,,
0901509190,4830,202,5032,,,
0901512130,3295,160,3455,,,
0901513810,1315,32,1347,,,
0901521860,1162,29,1191,,,
0901536000,1191,150,1341,,,
0901540500,9327,269,9596,,,
0901559980,8657,209,8866,,,
0901561030,2478,259,2737,,,
0901562710,5185,175,5360,,,
0901567400,1120,0,1120,,,
0901573420,2206,41,2247,,,
0901575870,5305,210,5515,,,
0901586790,10414,3931,14345,,,
0901588190,4867,490,5357,,,
1000100000,103811,7581,111392,,,
1000300000,359394,29529,388923,,,
1000500000,133079,8628,141707,,,
1100100000,456633,,456633,,,
1200100000,156224,15913,172137,,,
1200300000,14044,437,14481,,,
1200500000,110823,14693,125516,,,
1200700000,15644,839,16483,,,
1200900000,377819,30091,407910,,,
1201100000,1071305,127311,1198616,,,
1201300000,8278,157,8435,,,
1201500000,119484,4206,123690,,,
1201700000,97139,5837,102976,,,
1201900000,133930,6138,140068,,,
1202100000,185662,16043,201705,,,
1202300000,35577,2384,37961,,,
1202700000,14922,1511,16433,,,
1202900000,9900,489,10389,,,
1203100000,550495,36530,587025,,,
1203300000,200836,7987,208823,,,
1203500000,71581,7404,78985,,,
1203700000,7217,658,7875,,,
1203900000,28911,1320,30231,,,
1204100000,11076,15,11091,,,
1204300000,5992,867,6859,,,
1204500000,9409,101,9510,,,
1204700000,7719,331,8050,,,
1204900000,10960,1641,12601,,,
1205100000,16626,1435,18061,,,
1205300000,125064,5326,130390,,,
1205500000,60501,3705,64206,,,
1205700000,766186,35694,801880,,,
1205900000,11044,459,11503,,,
1206100000,96754,1897,98651,,,
1206300000,27530,1902,29432,,,
1206500000,9357,230,9587,,,
1206700000,4424,104,4528,,,
1206900000,207520,9025,216545,,,
1207100000,404181,22161,426342,,,
1207300000,191701,9482,201183,,,
1207500000,25717,434,26151,,,
1207700000,4478,68,4546,,,
1207900000,11507,611,12118,,,
1208100000,205406,19456,224862,,,
1208300000,215596,17572,233168,,,
1208500000,105273,3995,109268,,,
1208600000,1279680,87485,1367165,,,
1208700000,51506,4767,56273,,,
1208900000,55440,1223,56663,,,
1209100000,123642,16602,140244,,,
1209300000,19416,372,19788,,,
1209500000,715743,42391,758134,,,
1209700000,167286,25854,193140,,,
1209900000,850638,62067,912705,,,
1210100000,303010,20406,323416,,,
1210300000,624092,35252,659344,,,
1210500000,356132,17990,374122,,,
1210700000,45126,489,45615,,,
1210900000,160075,8324,168399,,,
1211100000,174126,15123,189249,,,
1211300000,124261,1894,126155,,,
1211500000,276554,13999,290553,,,
1211700000,266618,14132,280750,,,
1211900000,82173,2123,84296,,,
1212100000,24965,1336,26301,,,
1212300000,12074,598,12672,,,
1212500000,7140,70,7210,,,
1212700000,330831,28943,359774,,,
1212900000,18751,703,19454,,,
1213100000,41710,672,42382,,,
1213300000,14423,583,15006,,,
1300100000,9313,1334,10647,,,
1300300000,3796,470,4266,,,
1300500000,5033,785,5818,,,
1300700000,2047,66,2113,,,
1300900000,20587,2958,23545,,,
1301100000,8253,1302,9555,,,
1301300000,33760,6617,40377,,,
1301500000,49497,9497,58994,,,
1301700000,7762,1416,9178,,,
1301900000,8279,1906,10185,,,
1302100000,83428,10428,93856,,,
1302300000,5982,705,6687,,,
1302500000,8154,1523,9677,,,
1302700000,8796,1038,9834,,,
1302900000,18974,3469,22443,,,
1303100000,32641,6582,39223,,,
1303300000,12516,1779,14295,,,
1303500000,12061,1482,13543,,,
1303700000,2748,229,2977,,,
1303900000,25170,6047,31217,,,
1304300000,4496,861,5357,,,
1304500000,55554,9371,64925,,,
1304700000,31584,8322,39906,,,
1304900000,5277,550,5827,,,
1305100000,136788,36577,173365,,,
1305300000,2656,1175,3831,,,
1305500000,10866,2106,12972,,,
1305700000,129069,16620,145689,,,
1305900000,56318,10807,67125,,,
1306100000,1733,101,1834,,,
1306300000,128772,25673,154445,,,
1306500000,3538,526,4064,,,
1306700000,401691,58384,460075,,,
1306900000,18799,3315,22114,,,
1307100000,18156,3742,21898,,,
1307300000,76034,14730,90764,,,
1307500000,7766,1253,9019,,,
1307700000,73243,11579,84822,,,
1307900000,6470,982,7452,,,
1308100000,10220,1826,12046,,,
1308300000,8155,1902,10057,,,
1308500000,13289,1421,14710,,,
1308700000,13447,2566,16013,,,
1308900000,403266,65226,468492,,,
1309100000,9396,1458,10854,,,
1309300000,5359,664,6023,,,
1309500000,50433,8065,58498,,,
1309700000,71657,11129,82786,,,
1309900000,6582,840,7422,,,
1310100000,1564,225,1789,,,
1310300000,28269,5486,33755,,,
1310500000,10411,1460,11871,,,
1310700000,10149,1828,11977,,,
1310900000,4562,758,5320,,,
1311100000,13934,2277,16211,,,
1311300000,69485,11378,80863,,,
1311500000,44563,7320,51883,,,
1311700000,108465,12515,120980,,,
1311900000,10586,1474,12060,,,
1312100000,562809,94060,656869,,,
1312300000,14807,2449,17256,,,
1312500000,1642,138,1780,,,
1312700000,45074,7810,52884,,,
1312900000,23673,4560,28233,,,
1313100000,12229,2193,14422,,,
1313300000,10446,1154,11600,,,
1313500000,395291,68390,463681,,,
1313700000,19302,2947,22249,,,
1313900000,81373,15299,96672,,,
1314100000,5306,573,5879,,,
1314300000,13915,2314,16229,,,
1314500000,19455,2858,22313,,,
1314700000,12343,2022,14365,,,
1314900000,5141,1440,6581,,,
1315100000,119728,17604,137332,,,
1315300000,74656,15272,89928,,,
1315500000,4693,479,5172,,,
1315700000,31214,4119,35333,,,
1315900000,7469,1104,8573,,,
1316100000,6880,1096,7976,,,
1316300000,9296,1230,10526,,,
1316500000,4451,610,5061,,,
1316700000,4704,495,5199,,,
1316900000,15046,2113,17159,,,
1317100000,9674,1509,11183,,,
1317300000,4142,594,4736,,,
1317500000,24257,2217,26474,,,
1317700000,18053,2355,20408,,,
1317900000,25242,5747,30989,,,
1318100000,5149,570,5719,,,
1318300000,5900,1377,7277,,,
1318500000,46927,14799,61726,,,
1318700000,14870,1984,16854,,,
1318900000,5898,1025,6923,,,
1319100000,14295,2058,16353,,,
1319300000,4244,484,4728,,,
1319500000,12080,2061,14141,,,
1319700000,8303,535,8838,,,
1319900000,12161,1872,14033,,,
1320100000,3600,381,3981,,,
1320500000,10861,1702,12563,,,
1320700000,15439,1825,17264,,,
1320900000,4675,444,5119,,,
1321100000,10860,1409,12269,,,
1321300000,16103,3154,19257,,,
1321500000,100207,19817,120024,,,
1321700000,56161,8733,64894,,,
