FIPSCode,QA3a,QA3b,Registration,,,
2402300000,19292,,19292,,,
2402500000,164780,,164780,,,
2402700000,195440,,195440,,,
2402900000,12724,,12724,,,
2403100000,634663,,634663,,,
2403300000,544677,,544677,,,
2403500000,33175,,33175,,,
2403700000,12999,,12999,,,
2403900000,64510,,64510,,,
2404100000,25663,,25663,,,
2404300000,90097,,90097,,,
2404500000,56696,,56696,,,
2404700000,35699,,35699,,,
2451000000,373171,,373171,,,
2500103600,31567,826,32393,,,
2500107175,12296,1292,13588,,,
2500107980,7110,673,7783,,,
2500112995,5394,188,5582,,,
2500116775,11077,762,11839,,,
2500119295,4052,146,4198,,,
2500123105,24385,0,24385,,,
2500129020,9860,350,10210,,,
2500139100,9241,1213,10454,,,
2500151440,5050,277,5327,,,
2500155500,2513,384,2897,,,
2500159735,14318,1642,15960,,,
2500170605,1697,62,1759,,,
2500174385,2499,86,2585,,,
2500182525,17148,1032,18180,,,
2500300555,5608,285,5893,,,
2500300975,342,0,342,,,
2500304545,1196,202,1398,,,
2500313345,2223,53,2276,,,
2500314010,1107,24,1131,,,
2500316180,4274,239,4513,,,
2500321360,915,18,933,,,
2500324120,532,1,533,,,
2500326815,4475,31,4506,,,
2500328180,469,45,514,,,
2500330315,1389,38,1427,,,
2500334340,2121,7,2128,,,
2500334655,3826,32,3858,,,
2500334970,3754,86,3840,,,
2500342460,585,31,616,,,
2500343300,124,1,125,,,
2500344385,186,0,186,,,
2500345420,1031,86,1117,,,
2500346225,7879,989,8868,,,
2500351580,990,97,1087,,,
2500353050,599,2,601,,,
2500353960,23762,4741,28503,,,
2500356795,1114,0,1114,,,
2500359665,562,0,562,,,
2500360225,475,0,475,,,
2500361065,2277,0,2277,,,
2500367595,1539,77,1616,,,
2500371095,318,0,318,,,
2500373335,423,0,423,,,
2500377990,1149,16,1165,,,
2500379985,4345,334,4679,,,
2500380685,627,13,640,,,
2500500520,6340,927,7267,,,
2500502690,22677,4417,27094,,,
2500505280,4211,69,4280,,,
2500516425,17150,6606,23756,,,
2500516950,4386,461,4847,,,
2500520100,14980,913,15893,,,
2500522130,10853,0,10853,,,
2500523000,38546,11363,49909,,,
2500525240,5390,812,6202,,,
2500538225,14260,989,15249,,,
2500545000,55381,181,55562,,,
2500546575,16323,2542,18865,,,
2500549970,10782,1165,11947,,,
2500556060,9741,247,9988,,,
2500556375,8028,648,8676,,,
2500560645,8873,814,9687,,,
2500562430,13049,592,13641,,,
2500568750,11650,276,11926,,,
2500569170,23799,8533,32332,,,
2500577570,10521,1060,11581,,,
2500701585,369,0,369,,,
2500713800,832,106,938,,,
2500721150,3242,50,3292,,,
2500726325,129,17,146,,,
2500750390,3247,475,3722,,,
2500769940,3314,48,3362,,,
2500778235,2460,24,2484,,,
2500901185,10547,715,11262,,,
2500901465,20962,2064,23026,,,
2500905595,23498,2248,25746,,,
2500907420,5598,354,5952,,,
2500916250,16651,2323,18974,,,
2500921850,2590,163,2753,,,
2500925625,5586,572,6158,,,
2500926150,17707,3359,21066,,,
2500927620,4699,31,4730,,,
2500927900,5067,552,5619,,,
2500929405,28836,13251,42087,,,
2500932310,10182,397,10579,,,
2500934550,26842,12828,39670,,,
2500937490,49110,741,49851,,,
2500937560,8056,1220,9276,,,
2500937995,4020,145,4165,,,
2500938400,13870,1203,15073,,,
2500940430,4161,382,4543,,,
2500940710,24914,5347,30261,,,
2500941095,5685,225,5910,,,
2500943580,2456,102,2558,,,
2500945175,4755,240,4995,,,
2500945245,11540,2145,13685,,,
2500946365,17207,1563,18770,,,
2500952490,33772,2064,35836,,,
2500957880,5201,346,5547,,,
2500958405,4220,247,4467,,,
2500959105,23163,3886,27049,,,
2500959245,5289,686,5975,,,
2500960015,16058,1604,17662,,,
2500968645,8749,1222,9971,,,
2500970150,4519,175,4694,,,
2500974595,2633,143,2776,,,
2500977150,3248,35,3283,,,
2501102095,1297,70,1367,,,
2501105560,1475,0,1475,,,
2501109595,1171,155,1326,,,
2501112505,792,0,792,,,
2501114885,1116,41,1157,,,
2501115200,1454,105,1559,,,
2501116670,3341,271,3612,,,
2501121780,998,73,1071,,,
2501125730,1066,2,1068,,,
2501127025,10118,1104,11222,,,
2501129475,223,37,260,,,
2501129650,512,0,512,,,
2501135180,1324,112,1436,,,
2501135285,530,11,541,,,
2501142040,63,0,63,,,
2501142285,5360,480,5840,,,
2501145490,693,0,693,,,
2501147835,1962,207,2169,,,
2501151265,4254,464,4718,,,
2501158335,272,3,275,,,
2501161135,1263,60,1323,,,
2501161905,1308,115,1423,,,
2501168400,1959,408,2367,,,
2501173265,553,0,553,,,
2501174525,627,54,681,,,
2501179110,1080,65,1145,,,
2501300765,16153,5311,21464,,,
2501306085,839,2,841,,,
2501308470,2546,79,2625,,,
2501313485,892,2,894,,,
2501313660,32149,3434,35583,,,
2501319645,10120,1106,11226,,,
2501326675,1154,0,1154,,,
2501328075,3406,334,3740,,,
2501330665,1819,0,1819,,,
2501330840,22005,3121,25126,,,
2501336300,10531,893,11424,,,
2501337175,11824,1440,13264,,,
2501342145,5432,211,5643,,,
2501342530,605,0,605,,,
2501352105,7603,664,8267,,,
2501358650,970,8,978,,,
2501365825,5855,616,6471,,,
2501367000,102189,1032,103221,,,
2501370045,368,0,368,,,
2501372390,1139,142,1281,,,
2501376030,20933,3389,24322,,,
2501377850,14133,2796,16929,,,
2501379740,9544,696,10240,,,
2501501325,20735,696,21431,,,
2501504825,8864,639,9503,,,
2501513590,891,6,897,,,
2501516040,719,0,719,,,
2501519330,10465,1109,11574,,,
2501526290,672,33,705,,,
2501526535,4182,201,4383,,,
2501527690,3482,189,3671,,,
2501529265,2315,262,2577,,,
2501531785,1369,51,1420,,,
2501540990,340,2,342,,,
2501546330,17352,2363,19715,,,
2501552560,942,113,1055,,,
2501554030,460,0,460,,,
2501562745,4329,0,4329,,,
2501564145,10891,0,10891,,,
2501572880,6010,326,6336,,,
2501576380,1240,52,1292,,,
2501579915,1898,12,1910,,,
2501582175,895,0,895,,,
2501700380,13701,609,14310,,,
2501701605,27798,3047,30845,,,
2501701955,2204,166,2370,,,
2501702130,9646,852,10498,,,
2501703005,4744,360,5104,,,
2501704615,8620,1042,9662,,,
2501705070,15993,2127,18120,,,
2501705805,22618,3641,26259,,,
2501707350,3267,258,3525,,,
2501709840,15656,1428,17084,,,
2501711000,49088,17199,66287,,,
2501711525,3819,142,3961,,,
2501713135,22100,1736,23836,,,
2501715060,12124,722,12846,,,
2501717475,15909,4280,20189,,,
2501717825,2110,136,2246,,,
2501721990,15226,4426,19652,,,
2501724925,31418,6309,37727,,,
2501727480,7022,732,7754,,,
2501730700,9341,689,10030,,,
2501731085,10191,411,10602,,,
2501731540,11850,961,12811,,,
2501735215,19924,1319,21243,,,
2501735425,4006,394,4400,,,
2501735950,6201,76,6277,,,
2501737000,37718,19769,57487,,,
2501737875,23790,6239,30029,,,
2501738715,18562,3008,21570,,,
2501739625,5945,1139,7084,,,
2501739835,31111,4774,35885,,,
2501740115,16933,2079,19012,,,
2501743895,20902,1890,22792,,,
2501745560,49272,6418,55690,,,
2501748955,9929,1076,11005,,,
2501752805,7190,907,8097,,,
2501756130,16006,1886,17892,,,
2501761380,2952,128,3080,,,
2501761590,3643,450,4093,,,
2501762535,37957,9472,47429,,,
2501767665,13543,1940,15483,,,
2501768050,4691,243,4934,,,
2501768260,11475,524,11999,,,
2501769415,18627,2650,21277,,,
2501770360,5969,315,6284,,,
2501771025,7395,740,8135,,,
2501772215,16416,993,17409,,,
2501772600,28948,4981,33929,,,
2501773440,21769,578,22347,,,
2501773790,9215,649,9864,,,
2501776135,14832,1202,16034,,,
2501777255,7716,447,8163,,,
2501780230,12095,3633,15728,,,
2501780510,14460,752,15212,,,
2501781035,21522,3119,24641,,,
2501943790,8199,407,8606,,,
2502102935,2866,264,3130,,,
2502104930,10400,0,10400,,,
2502107665,20898,4218,25116,,,
2502109175,31200,7415,38615,,,
2502111315,13749,1683,15432,,,
2502114640,5399,403,5802,,,
2502116495,16520,1794,18314,,,
2502117405,3968,115,4083,,,
2502124820,11269,813,12082,,,
2502125100,20641,53,20694,,,
2502130455,6736,444,7180,,,
2502139765,8430,0,8430,,,
2502139975,8806,162,8968,,,
2502141515,5320,193,5513,,,
2502141690,18762,1203,19965,,,
2502144105,20415,542,20957,,,
2502146050,6273,369,6642,,,
2502150250,18203,1653,19856,,,
2502154100,5183,519,5702,,,
2502155745,49606,11916,61522,,,
2502155955,16831,3177,20008,,,
2502160785,11813,559,12372,,,
2502167945,13802,4359,18161,,,
2502172495,16362,514,16876,,,
2502174175,16103,1241,17344,,,
2502178690,10333,371,10704,,,
2502178865,31404,2687,34091,,,
2502182315,7055,702,7757,,,
2502300170,11186,4,11190,,,
2502308085,14965,10,14975,,,
2502309000,52399,3481,55880,,,
2502311665,6542,1395,7937,,,
2502317895,11064,72,11136,,,
2502318455,8943,611,9554,,,
2502327795,4963,261,5224,,,
2502328285,9560,0,9560,,,
2502328495,6571,466,7037,,,
2502330210,16508,361,16869,,,
2502331645,8045,221,8266,,,
2502333220,8381,609,8990,,,
2502333920,7398,367,7765,,,
2502338540,3629,170,3799,,,
2502338855,18070,345,18415,,,
2502339450,4864,212,5076,,,
2502340850,14306,1781,16087,,,
2502350145,7426,114,7540,,,
2502352630,12322,420,12742,,,
2502354310,34310,4718,39028,,,
2502354415,2070,39,2109,,,
2502357600,3911,172,4083,,,
2502357775,11726,913,12639,,,
2502360330,13968,107,14075,,,
2502372985,14555,225,14780,,,
2502375260,4753,286,5039,,,
2502379530,9142,699,9841,,,
2502507000,288283,95485,383768,,,
2502513205,11275,2962,14237,,,
2502556585,22230,3962,26192,,,
2502580930,11245,512,11757,,,
2502701885,3746,463,4209,,,
2502702480,5537,809,6346,,,
2502702760,10843,807,11650,,,
2502703740,3187,297,3484,,,
2502705490,2026,66,2092,,,
2502706015,5419,792,6211,,,
2502706365,3467,38,3505,,,
2502707525,3151,0,3151,,,
2502709105,2119,105,2224,,,
2502712715,9630,0,9630,,,
2502714395,7714,1868,9582,,,
2502717300,5530,511,6041,,,
2502717685,6189,797,6986,,,
2502718560,1465,10,1475,,,
2502723875,17070,5133,22203,,,
2502725485,9433,2070,11503,,,
2502726430,10697,1415,12112,,,
2502728740,1536,208,1744,,,
2502728950,3907,265,4172,,,
2502730560,12034,805,12839,,,
2502730945,3832,0,3832,,,
2502731435,3063,148,3211,,,
2502734165,4436,347,4783,,,
2502734795,6528,812,7340,,,
2502735075,21742,4221,25963,,,
2502737420,6452,736,7188,,,
2502740255,3767,355,4122,,,
2502741165,17098,700,17798,,,
2502741340,7900,778,8678,,,
2502741585,2062,9,2071,,,
2502745105,731,8,739,,,
2502746820,10424,298,10722,,,
2502746925,9326,1100,10426,,,
2502747135,3082,231,3313,,,
2502750670,1272,42,1314,,,
2502751825,8014,736,8750,,,
2502752420,2824,297,3121,,,
2502753120,862,52,914,,,
2502753225,1188,0,1188,,,
2502755395,2529,161,2690,,,
2502758580,857,34,891,,,
2502758825,5580,247,5827,,,
2502761800,21623,1293,22916,,,
2502763165,6627,504,7131,,,
2502763270,9156,2395,11551,,,
2502766105,6873,719,7592,,,
2502767385,5495,279,5774,,,
2502768155,6101,457,6558,,,
2502768610,6079,686,6765,,,
2502769275,4862,76,4938,,,
2502771480,4877,214,5091,,,
2502771620,8674,1225,9899,,,
2502773090,2937,238,3175,,,
2502773895,10209,1384,11593,,,
2502775015,10003,1340,11343,,,
2502775155,5008,198,5206,,,
2502775400,2294,141,2435,,,
2502777010,4948,373,5321,,,
2502780405,5586,763,6349,,,
2502782000,78538,29890,108428,,,
2600100000,8087,1232,9319,,,
2600300000,6209,1049,7258,,,
2600500000,73926,7643,81569,,,
2600700000,19775,3571,23346,,,
2600900000,18138,1958,20096,,,
2601100000,10879,1386,12265,,,
2601300000,5385,1015,6400,,,
2601500000,39505,4666,44171,,,
2601700000,72988,7348,80336,,,
2601900000,13444,1262,14706,,,
2602100000,106591,19297,125888,,,
2602300000,26949,4865,31814,,,
2602500000,87898,13417,101315,,,
2602700000,34098,5930,40028,,,
2602900000,19648,2656,22304,,,
2603100000,19109,2364,21473,,,
2603300000,21286,2585,23871,,,
2603500000,20069,3049,23118,,,
2603700000,51001,4615,55616,,,
2603900000,9796,1372,11168,,,
2604100000,25084,4049,29133,,,
2604300000,18466,3477,21943,,,
2604500000,73640,7273,80913,,,
2604700000,25126,2686,27812,,,
2604900000,291080,41304,332384,,,
2605100000,18311,2935,21246,,,
2605300000,10979,2592,13571,,,
2605500000,66035,5849,71884,,,
2605700000,23637,2834,26471,,,
2605900000,28561,5065,33626,,,
2606100000,20324,3947,24271,,,
2606300000,22105,3119,25224,,,
2606500000,170794,27528,198322,,,
2606700000,38607,4203,42810,,,
2606900000,18710,3428,22138,,,
2607100000,8266,1238,9504,,,
2607300000,37377,5722,43099,,,
2607500000,100121,13493,113614,,,
2607700000,175122,21790,196912,,,
2607900000,12390,1915,14305,,,
2608100000,403635,38638,442273,,,
2608300000,1709,205,1914,,,
2608500000,7683,1259,8942,,,
2608700000,59727,6607,66334,,,
2608900000,17854,1860,19714,,,
2609100000,62837,9662,72499,,,
2609300000,129705,10624,140329,,,
2609500000,3632,679,4311,,,
2609700000,8393,1146,9539,,,
2609900000,557386,62888,620274,,,
2610100000,17159,2470,19629,,,
2610300000,43322,6677,49999,,,
2610500000,20220,2476,22696,,,
2610700000,23781,3628,27409,,,
2610900000,15857,3507,19364,,,
2611100000,57811,7940,65751,,,
2611300000,9693,1043,10736,,,
2611500000,100582,15259,115841,,,
2611700000,37321,4704,42025,,,
2611900000,7008,973,7981,,,
2612100000,113586,15478,129064,,,
2612300000,31274,4204,35478,,,
2612500000,846441,94096,940537,,,
2612700000,16861,2469,19330,,,
2612900000,14609,1827,16436,,,
2613100000,4815,917,5732,,,
2613300000,15031,2134,17165,,,
2613500000,5887,807,6694,,,
2613700000,17550,2808,20358,,,
2613900000,173422,15231,188653,,,
2614100000,9537,1259,10796,,,
2614300000,18808,3023,21831,,,
2614500000,134019,19648,153667,,,
2614700000,107881,14806,122687,,,
2614900000,37134,6927,44061,,,
2615100000,26298,3085,29383,,,
2615300000,5685,1011,6696,,,
2615500000,47401,5217,52618,,,
2615700000,36197,4736,40933,,,
2615900000,48327,7099,55426,,,
2616100000,241129,39360,280489,,,
2616300000,1170061,180444,1350505,,,
2616500000,21949,2989,24938,,,
2700100000,9938,,9938,,,
2700300000,202374,,202374,,,
2700500000,18486,,18486,,,
2700700000,24461,,24461,,,
2700900000,21651,,21651,,,
2701100000,3297,,3297,,,
2701300000,36267,,36267,,,
2701500000,15176,,15176,,,
2701700000,20436,,20436,,,
2701900000,58545,,58545,,,
2702100000,18116,,18116,,,
2702300000,6877,,6877,,,
2702500000,32472,,32472,,,
2702700000,31711,,31711,,,
2702900000,4702,,4702,,,
2703100000,3575,,3575,,,
2703300000,6406,,6406,,,
2703500000,38922,,38922,,,
2703700000,251195,,251195,,,
2703900000,11644,,11644,,,
2704100000,23822,,23822,,,
2704300000,8500,,8500,,,
2704500000,12088,,12088,,,
2704700000,17997,,17997,,,
2704900000,28240,,28240,,,
2705100000,3927,,3927,,,
2705300000,730677,,730677,,,
2705500000,12010,,12010,,,
2705700000,12572,,12572,,,
2705900000,22477,,22477,,,
2706100000,26739,,26739,,,
2706300000,5989,,5989,,,
2706500000,9227,,9227,,,
2706700000,23609,,23609,,,
2706900000,2673,,2673,,,
2707100000,7305,,7305,,,
2707300000,4431,,4431,,,
2707500000,7415,,7415,,,
2707700000,2462,,2462,,,
2707900000,16231,,16231,,,
2708100000,3402,,3402,,,
2708300000,13464,,13464,,,
2708500000,20501,,20501,,,
2708700000,2598,,2598,,,
2708900000,5085,,5085,,,
2709100000,12044,,12044,,,
2709300000,13565,,13565,,,
2709500000,14535,,14535,,,
2709700000,18744,,18744,,,
2709900000,20105,,20105,,,
2710100000,5053,,5053,,,
2710300000,19559,,19559,,,
2710500000,9488,,9488,,,
2710700000,3616,,3616,,,
2710900000,86660,,86660,,,
2711100000,34920,,34920,,,
2711300000,7459,,7459,,,
2711500000,15672,,15672,,,
2711700000,5277,,5277,,,
2711900000,16227,,16227,,,
2712100000,6982,,6982,,,
2712300000,299449,,299449,,,
2712500000,2193,,2193,,,
2712700000,9553,,9553,,,
2712900000,8533,,8533,,,
2713100000,36075,,36075,,,
2713300000,5328,,5328,,,
2713500000,8577,,8577,,,
2713700000,122803,,122803,,,
2713900000,79538,,79538,,,
2714100000,51569,,51569,,,
2714300000,8764,,8764,,,
2714500000,85130,,85130,,,
2714700000,20706,,20706,,,
2714900000,6047,,6047,,,
2715100000,5603,,5603,,,
2715300000,13192,,13192,,,
2715500000,2102,,2102,,,
2715700000,13061,,13061,,,
2715900000,7546,,7546,,,
2716100000,10705,,10705,,,
2716300000,154048,,154048,,,
2716500000,5635,,5635,,,
2716700000,3478,,3478,,,
2716900000,28599,,28599,,,
2717100000,74459,,74459,,,
2717300000,5460,,5460,,,
2800100000,19844,845,20689,,,
2800300000,23592,1144,24736,,,
2800500000,10042,292,10334,,,
2800700000,12650,275,12925,,,
2800900000,5753,,5753,,,
2801100000,21259,7441,28700,,,
2801300000,9592,613,10205,,,
2801500000,7261,451,7712,,,
2801700000,11687,,11687,,,
2801900000,5493,1182,6675,,,
2802100000,,,0.00%,,,
2802300000,12623,468,13091,,,
2802500000,14242,577,14819,,,
2802700000,,,0.00%,,,
2802900000,19660,672,20332,,,
2803100000,14256,104,14360,,,
2803300000,95372,916,96288,,,
2803500000,43571,5153,48724,,,
2803700000,5687,353,6040,,,
2803900000,14588,451,15039,,,
2804100000,7611,420,8031,,,
2804300000,16044,549,16593,,,
2804500000,28218,2790,31008,,,
2804700000,106578,14059,120637,,,
2804900000,,,0.00%,,,
2805100000,11853,1215,13068,,,
2805300000,,,0.00%,,,
2805500000,1167,99,1266,,,
2805700000,15171,59,15230,,,
2805900000,80553,7277,87830,,,
2806100000,11352,,11352,,,
2806300000,,,0.00%,,,
2806500000,,,0.00%,,,
2806700000,,,0.00%,,,
2806900000,,,0.00%,,,
2807100000,29408,,29408,,,
2807300000,33085,2428,35513,,,
2807500000,44769,9081,53850,,,
2807700000,9158,317,9475,,,
2807900000,16017,1108,17125,,,
2808100000,46632,6694,53326,,,
2808300000,,,0.00%,,,
2808500000,,,0.00%,,,
2808700000,38985,4801,43786,,,
2808900000,75192,6783,81975,,,
2809100000,16642,1361,18003,,,
2809300000,20775,2262,23037,,,
2809500000,24400,854,25254,,,
2809700000,6831,1124,7955,,,
2809900000,,,0.00%,,,
2810100000,13202,628,13830,,,
2810300000,9212,7,9219,,,
2810500000,25449,96,25545,,,
2810700000,24224,,24224,,,
2810900000,36312,835,37147,,,
2811100000,8780,72,8852,,,
2811300000,21860,3876,25736,,,
2811500000,19640,326,19966,,,
2811700000,15565,1637,17202,,,
2811900000,5269,31,5300,,,
2812100000,86763,,86763,,,
2812300000,19082,687,19769,,,
2812500000,,,0.00%,,,
2812700000,,,0.00%,,,
2812900000,,,0.00%,,,
2813100000,9710,1034,10744,,,
2813300000,16069,777,16846,,,
2813500000,,,0.00%,,,
2813700000,,,0.00%,,,
2813900000,14226,1069,15295,,,
2814100000,12138,514,12652,,,
2814300000,6615,3097,9712,,,
2814500000,15881,1317,17198,,,
2814700000,12210,0,12210,,,
2814900000,29861,3538,33399,,,
2815100000,,,0.00%,,,
2815300000,13141,1168,14309,,,
2815500000,7432,172,7604,,,
2815700000,,,0.00%,,,
2815900000,12952,381,13333,,,
2816100000,,,0.00%,,,
2816300000,,,0.00%,,,
2900100000,12157,2501,14658,,,
2900300000,10981,892,11873,,,
2900500000,3674,269,3943,,,
2900700000,13483,1890,15373,,,
2900900000,18283,2077,20360,,,
2901100000,7912,722,8634,,,
2901300000,10881,420,11301,,,
2901500000,12438,1112,13550,,,
2901700000,7939,248,8187,,,
2901900000,96626,20324,116950,,,
2902100000,46855,7468,54323,,,
2902300000,24821,4700,29521,,,
2902500000,5992,63,6055,,,
2902700000,25046,3164,28210,,,
2902900000,27428,2527,29955,,,
2903100000,47312,5450,52762,,,
2903300000,5924,349,6273,,,
2903500000,4476,112,4588,,,
2903700000,67927,3414,71341,,,
2903900000,7892,301,8193,,,
2904100000,5288,347,5635,,,
2904300000,50011,4522,54533,,,
2904500000,4600,358,4958,,,
2904700000,135121,21377,156498,,,
2904900000,13382,944,14326,,,
2905100000,46672,6173,52845,,,
2905300000,10420,969,11389,,,
2905500000,14696,1299,15995,,,
2905700000,5614,298,5912,,,
2905900000,10025,884,10909,,,
2906100000,4835,192,5027,,,
2906300000,5900,650,6550,,,
2906500000,8736,998,9734,,,
2906700000,8839,1078,9917,,,
2906900000,16413,1390,17803,,,
2907100000,61326,8058,69384,,,
2907300000,9753,768,10521,,,
2907500000,4698,22,4720,,,
2907700000,159327,30869,190196,,,
2907900000,6218,523,6741,,,
2908100000,4731,563,5294,,,
2908300000,14181,1615,15796,,,
2908500000,6288,307,6595,,,
2908700000,3101,383,3484,,,
2908900000,6501,304,6805,,,
2909100000,23349,3237,26586,,,
2909300000,6292,610,6902,,,
2909500000,215005,31366,246371,,,
2909700000,64493,14833,79326,,,
2909900000,131567,6717,138284,,,
2910100000,27269,4814,32083,,,
2910300000,2491,119,2610,,,
2910500000,21314,1592,22906,,,
2910700000,21969,1380,23349,,,
2910900000,21606,2235,23841,,,
2911100000,6189,509,6698,,,
2911300000,31717,3313,35030,,,
2911500000,7831,819,8650,,,
2911700000,8841,650,9491,,,
2911900000,11538,900,12438,,,
2912100000,10065,294,10359,,,
2912300000,7523,88,7611,,,
2912500000,5747,461,6208,,,
2912700000,17414,1916,19330,,,
2912900000,2276,270,2546,,,
2913100000,15786,1320,17106,,,
2913300000,8266,606,8872,,,
2913500000,8707,579,9286,,,
2913700000,5724,139,5863,,,
2913900000,7586,563,8149,,,
2914100000,11464,1105,12569,,,
2914300000,10848,1573,12421,,,
2914500000,34422,5076,39498,,,
2914700000,11893,1633,13526,,,
2914900000,6719,624,7343,,,
2915100000,9008,407,9415,,,
2915300000,6784,166,6950,,,
2915500000,10300,1241,11541,,,
2915700000,11762,366,12128,,,
2915900000,24500,1528,26028,,,
2916100000,25363,3105,28468,,,
2916300000,9998,1098,11096,,,
2916500000,59128,5579,64707,,,
2916700000,17405,2220,19625,,,
2916900000,17303,3975,21278,,,
2917100000,3401,333,3734,,,
2917300000,6695,355,7050,,,
2917500000,14432,1463,15895,,,
2917700000,14538,3285,17823,,,
2917900000,4586,423,5009,,,
2918100000,8218,915,9133,,,
2918300000,234364,21566,255930,,,
2918500000,6175,501,6676,,,
2918600000,12317,629,12946,,,
2918700000,32962,4344,37306,,,
2918900000,671191,78686,749877,,,
2919500000,12769,1816,14585,,,
2919700000,2811,64,2875,,,
2919900000,2852,212,3064,,,
2920100000,23854,2563,26417,,,
2920300000,4906,219,5125,,,
2920500000,4271,342,4613,,,
2920700000,19197,1212,20409,,,
2920900000,20508,2605,23113,,,
2921100000,3565,827,4392,,,
2921300000,30337,4705,35042,,,
2921500000,14440,1600,16040,,,
2921700000,11536,1677,13213,,,
2921900000,20679,1252,21931,,,
2922100000,12838,1694,14532,,,
2922300000,8294,901,9195,,,
2922500000,20137,2582,22719,,,
2922700000,1478,42,1520,,,
2922900000,10981,1475,12456,,,
2938000000,181885,33732,215617,,,
2951000000,178751,39846,218597,,,
3000100000,5500,1088,6588,,,
3000300000,6759,1265,8024,,,
3000500000,3254,649,3903,,,
3000700000,3408,665,4073,,,
3000900000,6541,788,7329,,,
3001100000,897,105,1002,,,
3001300000,40217,11670,51887,,,
3001500000,3053,542,3595,,,
3001700000,5978,1222,7200,,,
3001900000,1136,88,1224,,,
3002100000,5238,261,5499,,,
3002300000,4624,374,4998,,,
3002500000,1623,317,1940,,,
3002700000,7110,903,8013,,,
3002900000,51138,10725,61863,,,
3003100000,53290,17740,71030,,,
3003300000,782,142,924,,,
3003500000,6435,885,7320,,,
3003700000,582,30,612,,,
3003900000,1984,205,2189,,,
3004100000,7698,1789,9487,,,
3004300000,7288,717,8005,,,
3004500000,1344,142,1486,,,
3004700000,15092,3594,18686,,,
3004900000,38222,4707,42929,,,
3005100000,1084,110,1194,,,
3005300000,10590,2513,13103,,,
3005500000,1128,38,1166,,,
3005700000,5391,470,5861,,,
3005900000,1077,295,1372,,,
3006100000,2825,279,3104,,,
3006300000,63954,22362,86316,,,
3006500000,2687,360,3047,,,
3006700000,10209,1723,11932,,,
3006900000,400,9,409,,,
3007100000,2478,141,2619,,,
3007300000,3319,160,3479,,,
3007500000,1149,123,1272,,,
3007700000,3057,434,3491,,,
3007900000,795,64,859,,,
3008100000,25073,4214,29287,,,
3008300000,5411,1237,6648,,,
3008500000,4607,1131,5738,,,
3008700000,4053,768,4821,,,
3008900000,6858,1296,8154,,,
3009100000,2092,256,2348,,,
3009300000,18893,1037,19930,,,
3009500000,5111,756,5867,,,
3009700000,2401,154,2555,,,
3009900000,3651,362,4013,,,
3010100000,2261,348,2609,,,
3010300000,539,31,570,,,
3010500000,4467,253,4720,,,
3010700000,1263,8,1271,,,
3010900000,649,83,732,,,
3011100000,78340,17631,95971,,,
3100100000,16552,2132,18684,,,
3100300000,4300,256,4556,,,
3100500000,321,4,325,,,
3100700000,514,20,534,,,
3100900000,346,30,376,,,
3101100000,3716,103,3819,,,
3101300000,6736,779,7515,,,
3101500000,1395,79,1474,,,
3101700000,2050,100,2150,,,
3101900000,24718,3310,28028,,,
3102100000,4423,450,4873,,,
3102300000,5257,452,5709,,,
3102500000,15523,1300,16823,,,
3102700000,5673,242,5915,,,
3102900000,2398,144,2542,,,
3103100000,3994,323,4317,,,
3103300000,6080,918,6998,,,
3103500000,3901,341,4242,,,
3103700000,4612,376,4988,,,
3103900000,5286,496,5782,,,
3104100000,6966,1126,8092,,,
3104300000,8808,1604,10412,,,
3104500000,4785,1199,5984,,,
3104700000,11912,1707,13619,,,
3104900000,1323,108,1431,,,
3105100000,3529,207,3736,,,
3105300000,19693,2185,21878,,,
3105500000,279784,45106,324890,,,
3105700000,1230,70,1300,,,
3105900000,3840,252,4092,,,
3106100000,2161,161,2322,,,
3106300000,1660,202,1862,,,
3106500000,3111,293,3404,,,
3106700000,12895,1063,13958,,,
3106900000,1417,98,1515,,,
3107100000,1228,30,1258,,,
3107300000,1348,134,1482,,,
3107500000,469,19,488,,,
3107700000,1603,73,1676,,,
3107900000,28207,4085,32292,,,
3108100000,5955,491,6446,,,
3108300000,2314,202,2516,,,
3108500000,707,36,743,,,
3108700000,1871,150,2021,,,
3108900000,6573,439,7012,,,
3109100000,542,42,584,,,
3109300000,4146,240,4386,,,
3109500000,4505,534,5039,,,
3109700000,2746,28,2774,,,
3109900000,4103,337,4440,,,
3110100000,5486,834,6320,,,
3110300000,615,35,650,,,
3110500000,2493,571,3064,,,
3110700000,5421,317,5738,,,
3110900000,153230,29219,182449,,,
3111100000,20376,3138,23514,,,
3111300000,530,34,564,,,
3111500000,452,65,517,,,
3111700000,337,23,360,,,
3111900000,18438,2588,21026,,,
3112100000,4009,835,4844,,,
3112300000,3072,199,3271,,,
3112500000,2228,177,2405,,,
3112700000,4087,607,4694,,,
3112900000,2948,224,3172,,,
3113100000,9266,1193,10459,,,
3113300000,1765,127,1892,,,
3113500000,1824,147,1971,,,
3113700000,5782,361,6143,,,
3113900000,4378,375,4753,,,
3114100000,17628,1807,19435,,,
3114300000,3277,166,3443,,,
3114500000,6479,692,7171,,,
3114700000,5303,724,6027,,,
3114900000,1006,21,1027,,,
3115100000,7073,830,7903,,,
3115300000,89374,12232,101606,,,
3115500000,13203,1215,14418,,,
3115700000,20387,3718,24105,,,
3115900000,9685,945,10630,,,
